"","IZ","Year","employment","crime","housing","access","House_Price","Respiratory.Prim","Expected"
"1","S02001842",2011,14.5,256.7503098,0.196119264,11.28800304,116000,91,75.9079513935343
"2","S02001842",2012,14.5,256.7503098,0.196119264,11.28800304,99500,96,78.2176286092353
"3","S02001842",2013,14.5,256.7503098,0.196119264,11.28800304,100500,111,79.4215578140837
"4","S02001842",2014,14.5,256.7503098,0.196119264,11.28800304,82000,113,79.6995370641151
"5","S02001842",2015,14.5,256.7503098,0.196119264,11.28800304,124995,92,80.7951724367037
"6","S02001842",2016,14.5,256.7503098,0.196119264,11.28800304,106000,128,80.4323960707723
"7","S02001842",2017,14.5,256.7503098,0.196119264,11.28800304,133150,112,82.6832406439853
"8","S02001843",2011,19,344.1183721,0.196748043,17.75509995,149995,61,45.4392049650327
"9","S02001843",2012,19,344.1183721,0.196748043,17.75509995,145500,72,45.3834974421579
"10","S02001843",2013,19,344.1183721,0.196748043,17.75509995,137000,81,45.9009410899043
"11","S02001843",2014,19,344.1183721,0.196748043,17.75509995,117000,75,46.5954148248475
"12","S02001843",2015,19,344.1183721,0.196748043,17.75509995,195995,71,46.8027479157276
"13","S02001843",2016,19,344.1183721,0.196748043,17.75509995,209995,84,49.5434127238492
"14","S02001843",2017,19,344.1183721,0.196748043,17.75509995,199995,96,52.8513266273135
"15","S02001844",2011,7,200.0916543,0.150340639,24.93347119,149995,77,69.8816447138395
"16","S02001844",2012,7,200.0916543,0.150340639,24.93347119,145500,95,72.4407360105696
"17","S02001844",2013,7,200.0916543,0.150340639,24.93347119,137000,108,75.1174866457715
"18","S02001844",2014,7,200.0916543,0.150340639,24.93347119,140000,88,78.5505317957859
"19","S02001844",2015,7,200.0916543,0.150340639,24.93347119,144500,99,82.48783078022
"20","S02001844",2016,7,200.0916543,0.150340639,24.93347119,166750,106,83.1864991040157
"21","S02001844",2017,7,200.0916543,0.150340639,24.93347119,180000,119,85.2525370761208
"22","S02001845",2011,26,813.9507053,0.261568695,11.56357608,70250,154,97.4445333503885
"23","S02001845",2012,26,813.9507053,0.261568695,11.56357608,47550,185,96.6538631300827
"24","S02001845",2013,26,813.9507053,0.261568695,11.56357608,61500,172,95.4013729875185
"25","S02001845",2014,26,813.9507053,0.261568695,11.56357608,56875,176,98.0146073276446
"26","S02001845",2015,26,813.9507053,0.261568695,11.56357608,68000,232,98.674086419946
"27","S02001845",2016,26,813.9507053,0.261568695,11.56357608,77500,253,98.7670814222045
"28","S02001845",2017,26,813.9507053,0.261568695,11.56357608,162995,216,99.9465991845601
"29","S02001846",2011,27.75,455.2958077,0.238521038,8.134499533,69000,105,53.9047175997467
"30","S02001846",2012,27.75,455.2958077,0.238521038,8.134499533,62000,112,53.6254822809808
"31","S02001846",2013,27.75,455.2958077,0.238521038,8.134499533,52000,114,53.5210179307299
